"ID_DOMINATION","CD_MATCH","CD_CLUB_DOMICILE","CD_CLUB_EXTERIEUR","CLUB_DOMINANT","DEBUT_DOMINATION","FIN_DOMINATION","SCORE_DOM_AV","SCORE_EXT_AV","SCORE_DOM_AP","SCORE_EXT_AP","ACTION_CREATRICE","NB_TIR_DOM","NB_TIR_EXT","NB_ARRET_DOM","NB_ARRET_EXT","NB_ACTION_DEF","NB_TIR_DIFF","ECART_AV","ECART_AP","ECART_CREE","DUREE"
"FR-1-H_32_26_5670_5","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_USAMNG_30918",20:53:00,24:04:00,8,10,8,13,NA,1,3,0,0,4,1,2,5,3,11460
"FR-1-H_32_26_5670_6","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",24:04:00,25:36:00,8,13,10,13,NA,2,0,0,0,1,0,-5,-3,2,5520
"FR-1-H_32_26_5670_7","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_USAMNG_30918",25:36:00,34:07:00,10,13,10,17,NA,1,3,2,2,11,0,3,7,4,30660
"FR-1-H_32_26_5670_8","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",34:07:00,35:38:00,10,17,12,17,NA,2,0,0,0,2,0,-7,-5,2,5460
"FR-1-H_32_26_5670_9","FR-1-H_32_26_5670","FR_FTHB_31000","FR_USAMNG_30918","FR_FTHB_31000",39:44:00,40:55:00,14,20,16,20,NA,2,0,0,0,2,1,-6,-4,2,4260
"FR-1-H_32_26_5671_1","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_CSMBHB_73000",02:08:00,06:57:00,1,0,1,5,NA,0,5,1,1,8,2,-1,4,5,17340
"FR-1-H_32_26_5671_10","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_CSMBHB_73000",54:50:00,59:28:00,24,25,24,27,NA,3,3,0,0,8,0,1,3,2,16680
"FR-1-H_32_26_5671_2","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_TFHB_93290",06:57:00,11:47:00,1,5,4,5,NA,3,1,3,0,8,1,-4,-1,3,17400
"FR-1-H_32_26_5671_3","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_CSMBHB_73000",16:21:00,18:59:00,6,7,6,9,NA,2,2,0,0,2,1,1,3,2,9480
"FR-1-H_32_26_5671_4","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_TFHB_93290",18:59:00,23:27:00,6,9,9,9,NA,3,0,1,1,10,0,-3,0,3,16080
"FR-1-H_32_26_5671_5","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_CSMBHB_73000",31:25:00,35:26:00,14,14,14,17,NA,0,2,0,2,6,2,0,3,3,14460
"FR-1-H_32_26_5671_6","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_TFHB_93290",35:29:00,37:18:00,14,17,16,17,NA,1,0,1,0,2,1,-3,-1,2,6540
"FR-1-H_32_26_5671_7","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_TFHB_93290",38:12:00,39:55:00,16,18,18,18,NA,2,0,1,0,3,0,-2,0,2,6180
"FR-1-H_32_26_5671_8","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_CSMBHB_73000",39:55:00,41:33:00,18,18,18,21,NA,0,3,0,1,2,2,0,3,3,5880
"FR-1-H_32_26_5671_9","FR-1-H_32_26_5671","FR_TFHB_93290","FR_CSMBHB_73000","FR_TFHB_93290",51:18:00,54:18:00,21,24,23,24,NA,2,1,1,1,4,1,-3,-1,2,10800
"FR-1-H_32_27_5672_1","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_CRMHB_35510",07:08:00,12:22:00,4,5,6,5,NA,2,1,3,2,9,1,-1,1,2,18840
"FR-1-H_32_27_5672_2","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_CRMHB_35510",14:15:00,18:17:00,7,7,10,7,NA,4,0,0,0,5,0,0,3,3,14520
"FR-1-H_32_27_5672_3","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_CRMHB_35510",18:30:00,20:58:00,10,8,12,8,NA,3,0,0,0,4,1,2,4,2,8880
"FR-1-H_32_27_5672_4","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_CRMHB_35510",21:47:00,22:36:00,13,10,15,10,NA,2,0,0,0,1,1,3,5,2,2940
"FR-1-H_32_27_5672_5","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_CRMHB_35510",27:24:00,28:46:00,17,13,19,13,NA,2,0,0,0,1,0,4,6,2,4920
"FR-1-H_32_27_5672_6","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_TFHB_93290",28:46:00,32:48:00,19,13,19,16,NA,0,3,1,2,7,0,-6,-3,3,14520
"FR-1-H_32_27_5672_7","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_CRMHB_35510",37:13:00,39:57:00,22,19,24,19,NA,2,0,2,0,4,1,3,5,2,9840
"FR-1-H_32_27_5672_8","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_TFHB_93290",44:21:00,49:42:00,25,20,25,22,NA,1,3,1,1,10,0,-5,-3,2,19260
"FR-1-H_32_27_5672_9","FR-1-H_32_27_5672","FR_CRMHB_35510","FR_TFHB_93290","FR_TFHB_93290",54:48:00,57:36:00,27,23,27,25,NA,0,2,0,1,6,0,-4,-2,2,10080
"FR-1-H_32_27_5673_1","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_CSMBHB_73000",02:56:00,07:18:00,1,2,4,2,NA,2,1,1,1,7,0,-1,2,3,15720
"FR-1-H_32_27_5673_10","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_CSMBHB_73000",50:09:00,52:40:00,24,30,26,30,NA,2,0,1,1,4,2,-6,-4,2,9060
"FR-1-H_32_27_5673_11","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_CSMBHB_73000",56:35:00,59:46:00,27,32,29,32,NA,5,1,0,1,7,0,-5,-3,2,11460
"FR-1-H_32_27_5673_2","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_LHB_87000",07:18:00,09:41:00,4,2,4,5,NA,1,2,0,1,2,1,-2,1,3,8580
"FR-1-H_32_27_5673_3","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_LHB_87000",19:10:00,20:44:00,8,8,8,10,NA,0,1,1,1,4,0,0,2,2,5640
"FR-1-H_32_27_5673_4","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_LHB_87000",22:41:00,26:43:00,10,11,10,14,NA,2,3,0,0,4,0,1,4,3,14520
"FR-1-H_32_27_5673_5","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_CSMBHB_73000",26:43:00,27:51:00,10,14,12,14,NA,3,1,0,0,0,1,-4,-2,2,4080
"FR-1-H_32_27_5673_6","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_LHB_87000",27:51:00,30:20:00,12,14,12,16,NA,0,2,0,0,5,1,2,4,2,8940
"FR-1-H_32_27_5673_7","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_CSMBHB_73000",30:20:00,32:28:00,12,16,14,16,NA,1,0,1,0,4,0,-4,-2,2,7680
"FR-1-H_32_27_5673_8","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_LHB_87000",38:05:00,40:59:00,18,20,18,23,NA,0,3,0,1,4,0,2,5,3,10440
"FR-1-H_32_27_5673_9","FR-1-H_32_27_5673","FR_CSMBHB_73000","FR_LHB_87000","FR_LHB_87000",43:23:00,45:55:00,21,25,21,27,NA,1,3,1,0,3,0,4,6,2,9120
"FR-1-H_32_27_5674_1","FR-1-H_32_27_5674","FR_USCHB_94000","FR_CCMHB_28000","FR_CCMHB_28000",02:12:00,04:08:00,1,0,1,2,NA,1,0,0,1,3,0,-1,1,2,6960
"FR-1-H_32_27_5674_10","FR-1-H_32_27_5674","FR_USCHB_94000","FR_CCMHB_28000","FR_CCMHB_28000",37:34:00,39:33:00,22,15,22,17,NA,0,2,0,2,4,0,-7,-5,2,7140
"FR-1-H_32_27_5674_11","FR-1-H_32_27_5674","FR_USCHB_94000","FR_CCMHB_28000","FR_USCHB_94000",39:33:00,42:03:00,22,17,24,17,NA,2,0,1,1,5,0,5,7,2,9000
