X_DEPART;Y_DEPART;X_ARRIVEE;Y_ARRIVEE;LB_RESULTAT_DETAIL;ZONE_PASSEUR;ZONE_RECEPTEUR
0.27;0.44;0.49;0.32;ARRÊT;Arrière gauche;Arrière centre
0.53;0.49;0.84;0.35;NEUTRALISATION;Arrière centre;Arrière droite
0.63;0.46;0.84;0.38;ARRÊT;Arrière centre;Arrière droite
0.54;0.51;0.88;0.4;BUT;Avant centre;Arrière droite
0.46;0.83;0.11;0.37;BUT;Avant centre;Arrière gauche
0.8;0.53;0.54;0.45;PASSAGE EN FORCE;Avant droite;Arrière centre
0.43;0.48;0.37;0.32;BUT;Arrière centre;Arrière centre
0.24;0.41;0.52;0.5;ARRÊT;Arrière gauche;Avant centre
0.52;0.48;0.84;0.38;BUT;Arrière centre;Arrière droite
0.53;0.49;0.79;0.5;NEUTRALISATION;Arrière centre;Avant droite
0.54;0.47;0.72;0.51;2 MINUTES;Arrière centre;Avant centre
0.38;0.43;0.04;0.04;ARRÊT;Arrière centre;Arrière gauche
0.19;0.3;0.08;0.07;NEUTRALISATION;Arrière gauche;Arrière gauche
0.57;0.42;0.83;0.32;BUT;Arrière centre;Arrière droite
0.24;0.31;0.4;0.54;BUT;Arrière gauche;Avant centre
0.89;0.31;0.97;0.05;BUT;Arrière droite;Arrière droite
0.49;0.82;0.88;0.7;BUT;Avant centre;Avant droite
0.31;0.46;0.14;0.33;CARTON JAUNE;Arrière gauche;Arrière gauche
0.67;0.47;0.62;0.32;PASSE INCOMPLETE;Arrière droite;Arrière centre
0.51;0.49;0.91;0.4;NEUTRALISATION;Arrière centre;Arrière droite
0.5;0.52;0.85;0.43;ARRÊT;Avant centre;Arrière droite
0.3;0.4;0.14;0.32;BUT;Arrière gauche;Arrière gauche
0.2;0.34;0.05;0.04;BUT;Arrière gauche;Arrière gauche
0.35;0.46;0.69;0.52;NEUTRALISATION;Arrière centre;Avant centre
0.31;0.52;0.86;0.49;2 MINUTES;Avant centre;Arrière droite
0.51;0.52;0.22;0.47;HORS CADRE;Avant centre;Arrière gauche
0.8;0.22;0.45;0.2;BUT;Arrière droite;Arrière centre
0.64;0.47;0.78;0.52;NEUTRALISATION;Arrière centre;Avant droite
0.71;0.47;0.89;0.47;NEUTRALISATION;Arrière droite;Arrière droite
0.5;0.46;0.55;0.33;BUT;Arrière centre;Arrière centre
0.4;0.46;0.5;0.33;BUT;Arrière centre;Arrière centre
0.76;0.38;0.84;0.43;NEUTRALISATION;Arrière droite;Arrière droite
0.18;0.45;0.52;0.54;NEUTRALISATION;Arrière gauche;Avant centre
0.48;0.45;0.47;0.56;ARRÊT;Arrière centre;Avant centre
0.83;0.28;0.94;0.07;ARRÊT;Arrière droite;Arrière droite
0.55;0.52;0.86;0.44;NEUTRALISATION;Avant centre;Arrière droite
0.56;0.47;0.77;0.51;BUT;Arrière centre;Avant droite
0.55;0.47;0.37;0.31;NEUTRALISATION;Arrière centre;Arrière centre
0.51;0.42;0.76;0.52;TIR CONTRÉ;Arrière centre;Avant droite
0.84;0.52;0.52;0.53;NEUTRALISATION;Avant droite;Avant centre
0.28;0.5;0.51;0.56;ARRÊT;Avant centre;Avant centre
0.88;0.51;0.44;0.54;NEUTRALISATION;Avant droite;Avant centre
0.28;0.45;0.28;0.55;BUT;Arrière gauche;Avant centre
0.62;0.48;0.52;0.33;NEUTRALISATION;Arrière centre;Arrière centre
0.66;0.46;0.92;0.11;INTERCEPTION;Arrière droite;Arrière droite
0.82;0.3;0.92;0.2;BUT;Arrière droite;Arrière droite
0.83;0.3;0.94;0.06;ARRÊT;Arrière droite;Arrière droite
0.08;0.57;0.5;0.41;BUT;Avant gauche;Arrière centre
0.9;0.46;0.51;0.7;CARTON JAUNE;Arrière droite;Avant centre
0.2;0.41;0.19;0.47;2 MINUTES;Arrière gauche;Arrière gauche
0.92;0.48;0.51;0.58;BUT;Arrière droite;Avant centre
0.48;0.5;0.97;0.03;ARRÊT;Avant centre;Arrière droite
0.52;0.47;0.92;0.47;ARRÊT;Arrière centre;Arrière droite
0.89;0.52;0.49;0.71;NEUTRALISATION;Avant droite;Avant centre
0.38;0.38;0.49;0.33;BUT;Arrière centre;Arrière centre
0.58;0.46;0.5;0.32;NEUTRALISATION;Arrière centre;Arrière centre
0.33;0.48;0.12;0.5;ARRÊT;Arrière centre;Avant gauche
0.27;0.52;0.63;0.59;BUT;Avant centre;Avant centre
0.65;0.49;0.28;0.52;BUT;Arrière centre;Avant centre
0.7;0.46;0.71;0.3;BUT;Arrière droite;Arrière droite
0.48;0.57;0.2;0.51;ARRÊT;Avant centre;Avant gauche
0.3;0.48;0.9;0.16;INTERCEPTION;Arrière gauche;Arrière droite
0.16;0.83;0.16;0.72;ARRÊT;Avant gauche;Avant gauche
0.7;0.52;0.58;0.33;ARRÊT;Avant centre;Arrière centre
0.74;0.44;0.61;0.33;BUT;Arrière droite;Arrière centre
0.67;0.47;0.86;0.51;HORS CADRE;Arrière droite;Avant droite
0.31;0.45;0.16;0.49;NEUTRALISATION;Arrière gauche;Arrière gauche
0.65;0.5;0.35;0.53;NEUTRALISATION;Avant centre;Avant centre
0.63;0.47;0.48;0.32;CARTON JAUNE;Arrière centre;Arrière centre
0.38;0.42;0.97;0.05;BUT;Arrière centre;Arrière droite
0.83;0.53;0.4;0.51;BUT;Avant droite;Avant centre
0.88;0.43;0.62;0.58;ARRÊT;Arrière droite;Avant centre
0.57;0.48;0.51;0.32;BUT;Arrière centre;Arrière centre
0.2;0.5;0.98;0.2;BUT;Avant gauche;Arrière droite
0.19;0.4;0.48;0.48;PASSAGE EN FORCE;Arrière gauche;Arrière centre
