"CD_MATCH","MOMENTUM","nb_momentums","GAGNE","ECART_POINTS"
"FR-1-H_32_35_5740","FR_MHB_34000",9,TRUE,15
"FR-1-H_32_35_5740","FR_CSMBHB_73000",3,FALSE,-15
"FR-1-H_32_35_5741","FR_PSGHB_75016",11,TRUE,12
"FR-1-H_32_35_5741","FR_IPHB_13806",4,FALSE,-12
"FR-1-H_32_35_5742","FR_SRVHB_83700",9,TRUE,5
"FR-1-H_32_35_5742","FR_LHB_87000",4,FALSE,-5
"FR-1-H_32_35_5743","FR_TFHB_93290",5,FALSE,-5
"FR-1-H_32_35_5743","FR_CCMHB_28000",8,TRUE,5
"FR-1-H_32_36_5744","FR_CSMBHB_73000",7,TRUE,4
"FR-1-H_32_36_5744","FR_USIHB_94200",5,FALSE,-4
"FR-1-H_32_36_5745","FR_CCMHB_28000",7,TRUE,4
"FR-1-H_32_36_5745","FR_DHBGL_59140",6,FALSE,-4
"FR-1-H_32_36_5746","FR_USCHB_94000",5,FALSE,-8
"FR-1-H_32_36_5746","FR_MHB_34000",9,TRUE,8
"FR-1-H_32_36_5747","FR_IPHB_13806",7,NA,0
"FR-1-H_32_36_5747","FR_CRMHB_35510",8,NA,0
"FR-1-H_32_36_5748","FR_LHB_87000",7,TRUE,6
"FR-1-H_32_36_5748","FR_TFHB_93290",5,FALSE,-6
"FR-1-H_32_36_5749","FR_HBCN_44200",4,FALSE,-2
"FR-1-H_32_36_5749","FR_PSGHB_75016",6,TRUE,2
"FR-1-H_32_36_5750","FR_USAMNG_30918",7,TRUE,1
"FR-1-H_32_36_5750","FR_SRVHB_83700",8,FALSE,-1
"FR-1-H_32_36_5751","FR_FTHB_31000",4,FALSE,-8
"FR-1-H_32_36_5751","FR_PAUC_13100",9,TRUE,8
"FR-1-H_32_37_5752","FR_PAUC_13100",6,TRUE,3
"FR-1-H_32_37_5752","FR_HBCN_44200",6,FALSE,-3
"FR-1-H_32_37_5753","FR_CRMHB_35510",5,FALSE,-3
"FR-1-H_32_37_5753","FR_USAMNG_30918",9,TRUE,3
"FR-1-H_32_37_5754","FR_CCMHB_28000",5,FALSE,-2
"FR-1-H_32_37_5754","FR_LHB_87000",6,TRUE,2
"FR-1-H_32_37_5755","FR_DHBGL_59140",5,NA,0
"FR-1-H_32_37_5755","FR_CSMBHB_73000",5,NA,0
"FR-1-H_32_37_5756","FR_USIHB_94200",9,TRUE,1
"FR-1-H_32_37_5756","FR_IPHB_13806",6,FALSE,-1
"FR-1-H_32_37_5757","FR_MHB_34000",4,FALSE,-3
"FR-1-H_32_37_5757","FR_PSGHB_75016",6,TRUE,3
"FR-1-H_32_37_5758","FR_SRVHB_83700",6,NA,0
"FR-1-H_32_37_5758","FR_FTHB_31000",6,NA,0
"FR-1-H_32_37_5759","FR_TFHB_93290",5,TRUE,6
"FR-1-H_32_37_5759","FR_USCHB_94000",4,FALSE,-6
"FR-1-H_32_38_5760","FR_PAUC_13100",8,TRUE,5
"FR-1-H_32_38_5760","FR_TFHB_93290",6,FALSE,-5
"FR-1-H_32_38_5761","FR_CSMBHB_73000",3,FALSE,-5
"FR-1-H_32_38_5761","FR_CCMHB_28000",6,TRUE,5
"FR-1-H_32_38_5762","FR_USCHB_94000",9,TRUE,5
"FR-1-H_32_38_5762","FR_USIHB_94200",4,FALSE,-5
"FR-1-H_32_38_5763","FR_IPHB_13806",8,FALSE,-2
"FR-1-H_32_38_5763","FR_SRVHB_83700",6,TRUE,2
"FR-1-H_32_38_5764","FR_LHB_87000",2,FALSE,-6
"FR-1-H_32_38_5764","FR_MHB_34000",4,TRUE,6
"FR-1-H_32_38_5765","FR_USAMNG_30918",6,TRUE,1
